Date,PCR,IV_C,STD_C,IV_P,STD_P
2020-08-14,1.118010235,0.136636728,0.075254174,0.278975124,0.420433347
2020-08-17,1.838929777,0.18814866,0.140445018,0.446782877,1.246876921
2020-08-18,0.81171648,0.345949159,0.213876062,0.378541013,1.549015305
2020-08-19,,,,,
2020-08-20,0.67235663,0.146573284,0.053686411,0.185116006,0.334550948
2020-08-21,1.166025308,0.073317564,0.046229205,0.182067571,0.295336461
2020-08-24,1.192529179,0.073629586,0.046074747,0.132388366,0.317767469
2020-08-25,1.276405417,0.064586329,0.052502371,0.105676125,0.279732155
2020-08-26,2.443664159,0.067678002,0.060465211,0.082739803,0.20299022
2020-08-27,0.958087859,0.127251886,0.041904479,0.135807101,0.281576544
2020-08-28,0.970568446,0.10826634,0.040040517,0.132272165,0.29330262
2020-08-31,0.670412617,0.139491035,0.052136851,0.123774599,0.368850059
2020-09-01,1.500834361,0.066747913,0.059347738,0.14655933,0.274169799
2020-09-02,0.973901514,0.073433707,0.058739446,0.089549142,0.25349624
2020-09-03,0.940781387,0.135278883,0.041233649,0.171139423,0.301385151
2020-09-04,1.098061119,0.136386994,0.043431607,0.200208488,0.274566774
2020-09-07,0.927863197,0.152409875,0.055004358,0.174795043,0.388231423
2020-09-08,1.202742439,0.097222374,0.063595777,0.151358911,0.428267418
2020-09-09,1.721030794,0.116709172,0.078281358,0.150304236,0.355509924
2020-09-10,1.058422493,0.173282852,0.067558947,0.310866741,0.684882785
2020-09-11,0.943049218,0.177770004,0.069905607,0.283590981,0.71584021
2020-09-14,1.504317684,0.180711566,0.136786187,0.451222146,1.270047237
2020-09-15,1.47755775,0.207294432,0.219125695,0.477837271,1.790830897
2020-09-16,,,,,
2020-09-17,1.043021794,0.084507152,0.037840233,0.115932309,0.305374831
2020-09-18,1.063975957,0.066524359,0.033956318,0.110644712,0.223769409
2020-09-21,0.927195046,0.0713853,0.040256761,0.093573047,0.253261095
2020-09-22,1.024916724,0.065233829,0.040048654,0.097033747,0.20094304
2020-09-23,0.888432874,0.053472887,0.043402359,0.064598103,0.186142343
2020-09-24,0.744730389,0.131631573,0.045156901,0.140217929,0.315840534
2020-09-25,0.963077392,0.101703275,0.039582362,0.131017397,0.202622979
2020-09-28,1.832602032,0.063837265,0.053813465,0.144866062,0.216490117
2020-09-29,0.921185461,0.065211514,0.041308707,0.079536158,0.228504477
2020-09-30,1.567990894,0.051660281,0.05389182,0.071577643,0.190955748
2020-10-05,1.06788021,0.101714878,0.043211702,0.123110575,0.172650274
2020-10-06,1.531225467,0.05891868,0.054513088,0.114860595,0.254252891
