JID,VERDICT,own_verdict,JTYPE
"PCDM,97,訴,1354,20090327,1",Win,Other,CRIMINAL
"IPCV,109,民專上,6,20210826,3",Lose,Mixed,CIVIL
"KSDM,92,易,521,20030815,1",Win,Other,CRIMINAL
"KSDM,111,智簡,47,20230208,1",Win,Other,CRIMINAL
"TCDM,96,簡,1369,20071221,1",Win,Other,CRIMINAL
"PCDM,108,智易,3,20190521,1",Win,Other,CRIMINAL
"TCDM,108,智訴,5,20200331,1",Lose,Other,CRIMINAL
"KSDM,94,簡上,401,20050922,1",Win,Other,CRIMINAL
"TCDM,101,智訴,13,20120925,1",Win,Other,CRIMINAL
"PCDM,106,智簡,26,20170501,1",Win,Other,CRIMINAL
"CTDM,107,智簡,5,20180717,1",Win,Other,CRIMINAL
"PCDM,109,智簡,33,20200608,1",Win,Other,CRIMINAL
"PCDM,107,智訴,6,20190307,1",Win,Other,CRIMINAL
"IPCV,101,民商上,7,20131121,1",Lose,Mixed,CIVIL
"TPHM,92,上訴,2753,20040227,1",Win,Other,CRIMINAL
"TPDM,95,簡,1122,20060630,1",Win,Other,CRIMINAL
"IPCA,100,行商訴,63,20111103,2",Win,Other,ADMINISTRATIVE
"TNDM,99,智簡,13,20100809,1",Win,Other,CRIMINAL
"TCDM,105,中智簡,26,20160524,1",Win,Other,CRIMINAL
"TPAA,91,判,219,20020201,1",Win,Other,ADMINISTRATIVE
"TCDM,103,中智簡,52,20140530,1",Win,Other,CRIMINAL
"CYDM,110,智簡,25,20211004,1",Win,Other,CRIMINAL
"TCDM,99,智訴,18,20101123,1",Win,Other,CRIMINAL
"IPCM,105,刑智上訴,7,20161117,1",Win,Other,CRIMINAL
"IPCM,102,刑智上更(四),6,20131024,2",Lose,Other,CRIMINAL
"TNDM,103,智簡,28,20140829,1",Win,Other,CRIMINAL
"KLDM,95,基簡,193,20060308,1",Win,Other,CRIMINAL
"KSDM,91,易,626,20020329,1",Win,Other,CRIMINAL
"KSDM,109,智簡,15,20200410,1",Win,Other,CRIMINAL
"PCDM,104,智訴,11,20150930,1",Lose,Other,CRIMINAL
"TPAA,105,判,337,20160630,1",Other,Remand,ADMINISTRATIVE
"TPDM,109,智易,81,20211115,2",Win,Other,CRIMINAL
"IPCA,98,行專訴,37,20090813,3",Win,Mixed,ADMINISTRATIVE
"KSDM,106,智簡,25,20170904,1",Win,Other,CRIMINAL
"TCDM,111,智簡,18,20221031,1",Win,Other,CRIMINAL
"TYDM,107,智訴,3,20181114,1",Win,Other,CRIMINAL
"KSDM,95,簡,4219,20061019,1",Win,Other,CRIMINAL
"CHDM,111,智簡附民,12,20221229,1",Win,Mixed,CWC
"FYEM,108,豐智簡,14,20191216,1",Win,Other,CRIMINAL
"KSDM,102,智簡,82,20130628,1",Win,Other,CRIMINAL
"TPBA,91,訴,938,20030327,1",Win,Mixed,ADMINISTRATIVE
"KSDM,95,簡,5572,20061130,1",Win,Other,CRIMINAL
"CHDM,108,智簡,31,20191223,1",Win,Other,CRIMINAL
"TPHM,90,上訴,3902,20020114,1",Win,Other,CRIMINAL
"IPCM,103,刑智上易,76,20141119,1",Win,Other,CRIMINAL
"PTDM,111,智簡,19,20230330,1",Win,Other,CRIMINAL
"TCDM,102,智簡,22,20130731,1",Win,Other,CRIMINAL
"TNDM,109,智簡,62,20200925,1",Win,Other,CRIMINAL
"TNDM,92,易,1402,20041116,3",Win,Other,CRIMINAL
"TCDM,109,智易,60,20201123,1",Win,Other,CRIMINAL
"TPDM,96,易,1694,20071123,2",Lose,Other,CRIMINAL
"CHDM,110,智簡,32,20210715,1",Win,Other,CRIMINAL
"TCDM,103,中智簡,99,20150130,1",Win,Other,CRIMINAL
"TPBA,92,訴更一,102,20040812,1",Win,Remand,ADMINISTRATIVE
"TCDM,100,中智簡,99,20120203,1",Win,Other,CRIMINAL
"IPCA,101,行專更(二),3,20130718,2",Lose,Remand,ADMINISTRATIVE
"KSDM,100,智簡,300,20120207,1",Win,Other,CRIMINAL
"CHDM,102,智簡,1,20130322,1",Win,Other,CRIMINAL
"SLDV,97,智,3,20101214,2",Win,Mixed,CIVIL
