Unnamed: 0,run_mode,run_tag,dataset_name,dataset_slug,remove_leakage,leakage_variant,representation,dtm_path,max_rows,train_size,val_size,test_size,random_state,chi2_k_grid,svm_c_grid,best_chi2_k,best_svm_c,baseline_models,direct_svm_tuning,best_direct_chi2_k,best_direct_svm_c,direct_svm_patch_run_mode,direct_svm_patch_run_tag,direct_svm_patch_max_rows,output_dir,Direct SVM Independent Accuracy,Direct SVM Independent Macro F1
0,full,full_20260504_154912,civil_win_lose_mixed,civil_win_lose_mixed,True,no_leakage,tf,../artifacts/features/dtm\civil_win_lose_mixed\no_leakage\dtm_csr_TF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",1000,0.25,"['Majority Class', 'TF + SVM']",independent_validation_macro_f1,3000,4.0,full,full_20260504_154912,,../artifacts/reports\civil_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912,0.6875551632833187,0.41709772945990786
0,full,full_20260504_154912,civil_win_lose_mixed,civil_win_lose_mixed,True,no_leakage,tfidf,../artifacts/features/dtm\civil_win_lose_mixed\no_leakage\dtm_csr_TF_IDF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",1000,0.125,"['Majority Class', 'TFIDF + SVM']",independent_validation_macro_f1,5000,4.0,full,full_20260504_154912,,../artifacts/reports\civil_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912,0.6796116504854369,0.4277972992985715
0,full,full_20260504_154912,criminal_win_lose_mixed,criminal_win_lose_mixed,False,with_leakage,bow,../artifacts/features/dtm\criminal_win_lose_mixed\with_leakage\dtm_csr_BoW.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",10000,0.0625,"['Majority Class', 'BOW + SVM']",independent_validation_macro_f1,1000,0.5,full,full_20260504_154912,,../artifacts/reports\criminal_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912,0.952745360627511,0.5641998644505914
0,full,full_20260504_154912,criminal_win_lose_mixed,criminal_win_lose_mixed,False,with_leakage,tf,../artifacts/features/dtm\criminal_win_lose_mixed\with_leakage\dtm_csr_TF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",5000,0.5,"['Majority Class', 'TF + SVM']",independent_validation_macro_f1,5000,4.0,full,full_20260504_154912,,../artifacts/reports\criminal_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912,0.9519801033097379,0.5263386753614343
0,full,full_20260504_154912,criminal_win_lose_mixed,criminal_win_lose_mixed,False,with_leakage,tfidf,../artifacts/features/dtm\criminal_win_lose_mixed\with_leakage\dtm_csr_TF_IDF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",3000,0.25,"['Majority Class', 'TFIDF + SVM']",independent_validation_macro_f1,1000,4.0,full,full_20260504_154912,,../artifacts/reports\criminal_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912,0.9426057011670174,0.5598267680067295
0,full,full_20260504_154912,criminal_win_lose_mixed,criminal_win_lose_mixed,True,no_leakage,bow,../artifacts/features/dtm\criminal_win_lose_mixed\no_leakage\dtm_csr_BoW.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",10000,0.125,"['Majority Class', 'BOW + SVM']",independent_validation_macro_f1,1000,1.0,full,full_20260504_154912,,../artifacts/reports\criminal_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912,0.9525540462980677,0.5636816959952469
0,full,full_20260504_154912,criminal_win_lose_mixed,criminal_win_lose_mixed,True,no_leakage,tf,../artifacts/features/dtm\criminal_win_lose_mixed\no_leakage\dtm_csr_TF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",1000,0.0625,"['Majority Class', 'TF + SVM']",independent_validation_macro_f1,5000,4.0,full,full_20260504_154912,,../artifacts/reports\criminal_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912,0.9514061603214081,0.5772699607148786
0,full,full_20260504_154912,criminal_win_lose_mixed,criminal_win_lose_mixed,True,no_leakage,tfidf,../artifacts/features/dtm\criminal_win_lose_mixed\no_leakage\dtm_csr_TF_IDF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",5000,0.125,"['Majority Class', 'TFIDF + SVM']",independent_validation_macro_f1,1000,4.0,full,full_20260504_154912,,../artifacts/reports\criminal_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912,0.9426057011670174,0.5621741483872863
0,full,full_20260504_154912,cwc_win_lose_mixed,cwc_win_lose_mixed,False,with_leakage,bow,../artifacts/features/dtm\cwc_win_lose_mixed\with_leakage\dtm_csr_BoW.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",3000,0.0625,"['Majority Class', 'BOW + SVM']",independent_validation_macro_f1,3000,0.25,full,full_20260504_154912,,../artifacts/reports\cwc_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912,0.8535911602209945,0.6460228950989504
0,full,full_20260504_154912,cwc_win_lose_mixed,cwc_win_lose_mixed,False,with_leakage,tf,../artifacts/features/dtm\cwc_win_lose_mixed\with_leakage\dtm_csr_TF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",1000,0.0625,"['Majority Class', 'TF + SVM']",independent_validation_macro_f1,5000,4.0,full,full_20260504_154912,,../artifacts/reports\cwc_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912,0.8701657458563536,0.5818530808770902
