dataset,leakage,feature,run,model,chi_square,best_c,test_accuracy,test_macro_f1,path
administrative_win_lose_mixed,with_leakage,tfidf,full_20260504_154912,TFIDF + SVM,No,4.0,0.856827220503756,0.3799581474028057,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,with_leakage,tfidf,full_20260504_154912,Proposed MNIR + SVM,No,0.5,0.8722934158197083,0.3106704438149197,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
administrative_win_lose_mixed,with_leakage,tfidf,quick_20260504_153911,TFIDF + SVM,Yes,0.25,0.8791666666666667,0.3118994826311899,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tfidf\step3_runs\quick_20260504_153911\model_comparison.csv
administrative_win_lose_mixed,with_leakage,tfidf,quick_20260504_153911,Proposed MNIR + SVM,Yes,0.25,0.8791666666666667,0.3118994826311899,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tfidf\step3_runs\quick_20260504_153911\model_comparison.csv
civil_win_lose_mixed,no_leakage,bow,full_20260504_154912,BOW + SVM,Yes,0.25,0.6372462488967343,0.4027542772668971,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,no_leakage,bow,full_20260504_154912,Proposed MNIR + SVM,Yes,0.5,0.677846425419241,0.3357685441674361,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,no_leakage,bow,full_20260504_154912,BOW + SVM,No,0.0625,0.6522506619593998,0.4163644464363065,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,no_leakage,bow,full_20260504_154912,Proposed MNIR + SVM,No,0.5,0.6769638128861429,0.3419182551726423,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,no_leakage,bow,quick_20260504_153911,BOW + SVM,Yes,0.25,0.6541666666666667,0.3962344153502297,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\bow\step3_runs\quick_20260504_153911\model_comparison.csv
civil_win_lose_mixed,no_leakage,bow,quick_20260504_153911,Proposed MNIR + SVM,Yes,0.25,0.65,0.3123108129193321,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\bow\step3_runs\quick_20260504_153911\model_comparison.csv
civil_win_lose_mixed,no_leakage,tf,full_20260504_154912,TF + SVM,Yes,4.0,0.6875551632833187,0.4170977294599078,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,no_leakage,tf,full_20260504_154912,Proposed MNIR + SVM,Yes,0.25,0.6866725507502206,0.320197030920064,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,no_leakage,tf,full_20260504_154912,TF + SVM,No,2.0,0.6919682259488085,0.4390523312689893,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,no_leakage,tf,full_20260504_154912,Proposed MNIR + SVM,No,4.0,0.6734333627537511,0.2959005376344086,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,no_leakage,tf,quick_20260504_153911,TF + SVM,Yes,1.0,0.6625,0.3413547237076648,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tf\step3_runs\quick_20260504_153911\model_comparison.csv
civil_win_lose_mixed,no_leakage,tf,quick_20260504_153911,Proposed MNIR + SVM,Yes,0.25,0.6708333333333333,0.3270860077021822,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tf\step3_runs\quick_20260504_153911\model_comparison.csv
civil_win_lose_mixed,no_leakage,tfidf,full_20260504_154912,TFIDF + SVM,Yes,4.0,0.6796116504854369,0.4277972992985715,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,no_leakage,tfidf,full_20260504_154912,Proposed MNIR + SVM,Yes,0.125,0.6954986760812003,0.3525234025234025,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,no_leakage,tfidf,full_20260504_154912,TFIDF + SVM,No,2.0,0.6840247131509267,0.4289142892626499,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,no_leakage,tfidf,full_20260504_154912,Proposed MNIR + SVM,No,0.125,0.6699029126213593,0.2965761228038616,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,no_leakage,tfidf,quick_20260504_153911,TFIDF + SVM,Yes,1.0,0.675,0.3360190599956681,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tfidf\step3_runs\quick_20260504_153911\model_comparison.csv
civil_win_lose_mixed,no_leakage,tfidf,quick_20260504_153911,Proposed MNIR + SVM,Yes,0.25,0.6541666666666667,0.3427732079905993,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tfidf\step3_runs\quick_20260504_153911\model_comparison.csv
civil_win_lose_mixed,with_leakage,bow,full_20260504_154912,BOW + SVM,Yes,0.5,0.6390114739629302,0.4077692708772442,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,with_leakage,bow,full_20260504_154912,Proposed MNIR + SVM,Yes,0.0625,0.6813768755516328,0.3387493259745615,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,with_leakage,bow,full_20260504_154912,BOW + SVM,No,0.5,0.6328331862312445,0.4346249468927635,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,with_leakage,bow,full_20260504_154912,Proposed MNIR + SVM,No,1.0,0.6857899382171226,0.3562335864011841,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,with_leakage,bow,quick_20260504_153911,BOW + SVM,Yes,0.25,0.6333333333333333,0.3992380399233891,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\bow\step3_runs\quick_20260504_153911\model_comparison.csv
civil_win_lose_mixed,with_leakage,bow,quick_20260504_153911,Proposed MNIR + SVM,Yes,1.0,0.6541666666666667,0.3136927685066324,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\bow\step3_runs\quick_20260504_153911\model_comparison.csv
civil_win_lose_mixed,with_leakage,tf,full_20260504_154912,TF + SVM,Yes,2.0,0.6804942630185349,0.4047312896632744,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,with_leakage,tf,full_20260504_154912,Proposed MNIR + SVM,Yes,4.0,0.6928508384819064,0.3369742921454803,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,with_leakage,tf,full_20260504_154912,TF + SVM,No,2.0,0.6866725507502206,0.4168659172289713,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,with_leakage,tf,full_20260504_154912,Proposed MNIR + SVM,No,0.5,0.677846425419241,0.2877956115447483,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,with_leakage,tf,quick_20260504_153911,TF + SVM,Yes,1.0,0.6625,0.335840224684038,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tf\step3_runs\quick_20260504_153911\model_comparison.csv
civil_win_lose_mixed,with_leakage,tf,quick_20260504_153911,Proposed MNIR + SVM,Yes,1.0,0.6666666666666666,0.3428912783751492,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tf\step3_runs\quick_20260504_153911\model_comparison.csv
civil_win_lose_mixed,with_leakage,tfidf,full_20260504_154912,TFIDF + SVM,Yes,4.0,0.6707855251544572,0.4248405103668261,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,with_leakage,tfidf,full_20260504_154912,Proposed MNIR + SVM,Yes,0.5,0.6946160635481023,0.3643839911249382,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,with_leakage,tfidf,full_20260504_154912,TFIDF + SVM,No,1.0,0.6813768755516328,0.4095960239484579,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,with_leakage,tfidf,full_20260504_154912,Proposed MNIR + SVM,No,2.0,0.676081200353045,0.3005907751949808,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
civil_win_lose_mixed,with_leakage,tfidf,quick_20260504_153911,TFIDF + SVM,Yes,1.0,0.6708333333333333,0.3278326374621689,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tfidf\step3_runs\quick_20260504_153911\model_comparison.csv
civil_win_lose_mixed,with_leakage,tfidf,quick_20260504_153911,Proposed MNIR + SVM,Yes,0.25,0.6625,0.3417037770080818,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\with_leakage\tfidf\step3_runs\quick_20260504_153911\model_comparison.csv
criminal_win_lose_mixed,no_leakage,bow,full_20260504_154912,BOW + SVM,Yes,1.0,0.9525540462980676,0.5636816959952469,D:\Github\Personal-Project\textual data analysis\artifacts\reports\criminal_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
