Dataset,dataset_slug,Leakage,Feature,Model,Chi-square setting,Best C,Test Accuracy,Test Macro F1,Path
Civil,civil_win_lose_mixed,no_leakage,BoW,Proposed MNIR + SVM,Chi-square,0.5,0.677846425419241,0.3357685441674361,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,no_leakage,BoW,BOW + SVM,No chi-square,0.0625,0.6522506619593998,0.4163644464363065,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,no_leakage,BoW,Proposed MNIR + SVM,No chi-square,0.5,0.6769638128861429,0.3419182551726423,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,no_leakage,TF,Majority Class,Baseline,,0.676081200353045,0.2689134632262594,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,no_leakage,TF,TF + SVM,Chi-square,4.0,0.6875551632833187,0.4170977294599078,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,no_leakage,TF,Proposed MNIR + SVM,Chi-square,0.25,0.6866725507502206,0.320197030920064,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,no_leakage,TF,TF + SVM,No chi-square,2.0,0.6919682259488085,0.4390523312689893,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,no_leakage,TF,Proposed MNIR + SVM,No chi-square,4.0,0.6734333627537511,0.2959005376344086,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,no_leakage,TF-IDF,Majority Class,Baseline,,0.676081200353045,0.2689134632262594,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,no_leakage,TF-IDF,TFIDF + SVM,Chi-square,4.0,0.6796116504854369,0.4277972992985715,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,no_leakage,TF-IDF,Proposed MNIR + SVM,Chi-square,0.125,0.6954986760812003,0.3525234025234025,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
