,Date,File,收盤價(元)
307,2022-01-03,o20220103.csv,18270.51
308,2022-01-04,o20220104.csv,18526.35
309,2022-01-05,o20220105.csv,18499.96
310,2022-01-06,o20220106.csv,18367.92
311,2022-01-07,o20220107.csv,18169.76
312,2022-01-10,o20220110.csv,18239.38
313,2022-01-11,o20220111.csv,18288.21
314,2022-01-12,o20220112.csv,18375.4
315,2022-01-13,o20220113.csv,18436.93
316,2022-01-14,o20220114.csv,18403.33
317,2022-01-17,o20220117.csv,18525.44
318,2022-01-18,o20220118.csv,18378.64
319,2022-01-19,o20220119.csv,18227.46
320,2022-01-20,o20220120.csv,18218.28
321,2022-01-21,o20220121.csv,17899.3
322,2022-01-24,o20220124.csv,17989.04
323,2022-01-25,o20220125.csv,17701.12
324,2022-01-26,o20220126.csv,17674.4
325,2022-02-07,o20220207.csv,17900.3
326,2022-02-08,o20220208.csv,17966.56
327,2022-02-09,o20220209.csv,18151.76
328,2022-02-10,o20220210.csv,18338.05
329,2022-02-11,o20220211.csv,18310.94
330,2022-02-14,o20220214.csv,17997.67
331,2022-02-15,o20220215.csv,17951.81
332,2022-02-16,o20220216.csv,18231.47
333,2022-02-17,o20220217.csv,18268.57
334,2022-02-18,o20220218.csv,18232.35
335,2022-02-21,o20220221.csv,18221.49
336,2022-02-22,o20220222.csv,17969.29
337,2022-02-23,o20220223.csv,18055.73
338,2022-02-24,o20220224.csv,17594.55
339,2022-02-25,o20220225.csv,17652.18
340,2022-03-01,o20220301.csv,17898.25
341,2022-03-02,o20220302.csv,17867.6
342,2022-03-03,o20220303.csv,17934.4
343,2022-03-04,o20220304.csv,17736.52
344,2022-03-07,o20220307.csv,17178.69
345,2022-03-08,o20220308.csv,16825.25
346,2022-03-09,o20220309.csv,17015.36
347,2022-03-10,o20220310.csv,17433.2
348,2022-03-11,o20220311.csv,17264.74
349,2022-03-14,o20220314.csv,17263.04
350,2022-03-15,o20220315.csv,16926.06
351,2022-03-16,o20220316.csv,16940.83
352,2022-03-17,o20220317.csv,17448.22
353,2022-03-18,o20220318.csv,17456.52
354,2022-03-21,o20220321.csv,17560.36
355,2022-03-22,o20220322.csv,17559.71
356,2022-03-23,o20220323.csv,17731.37
357,2022-03-24,o20220324.csv,17699.06
358,2022-03-25,o20220325.csv,17676.95
359,2022-03-28,o20220328.csv,17520.01
360,2022-03-29,o20220329.csv,17548.66
361,2022-03-30,o20220330.csv,17740.56
362,2022-03-31,o20220331.csv,17693.47
363,2022-04-01,o20220401.csv,17625.59
364,2022-04-06,o20220406.csv,17522.5
365,2022-04-07,o20220407.csv,17178.63
366,2022-04-08,o20220408.csv,17284.54
367,2022-04-11,o20220411.csv,17048.37
368,2022-04-12,o20220412.csv,16990.91
369,2022-04-13,o20220413.csv,17301.65
370,2022-04-14,o20220414.csv,17245.65
371,2022-04-15,o20220415.csv,17004.18
372,2022-04-18,o20220418.csv,16898.87
373,2022-04-19,o20220419.csv,16993.4
374,2022-04-20,o20220420.csv,17148.88
375,2022-04-21,o20220421.csv,17127.95
376,2022-04-22,o20220422.csv,17025.09
377,2022-04-25,o20220425.csv,16620.9
378,2022-04-26,o20220426.csv,16644.79
379,2022-04-27,o20220427.csv,16303.35
380,2022-04-28,o20220428.csv,16419.38
381,2022-04-29,o20220429.csv,16592.18
382,2022-05-03,o20220503.csv,16498.9
383,2022-05-04,o20220504.csv,16565.83
384,2022-05-05,o20220505.csv,16696.12
385,2022-05-06,o20220506.csv,16408.2
386,2022-05-09,o20220509.csv,16048.92
387,2022-05-10,o20220510.csv,16061.7
388,2022-05-11,o20220511.csv,16006.25
389,2022-05-12,o20220512.csv,15616.68
390,2022-05-13,o20220513.csv,15832.54
391,2022-05-16,o20220516.csv,15901.04
392,2022-05-17,o20220517.csv,16056.09
393,2022-05-18,o20220518.csv,16296.86
394,2022-05-19,o20220519.csv,16020.32
395,2022-05-20,o20220520.csv,16144.85
396,2022-05-23,o20220523.csv,16156.41
