TrmTerm(法律名詞),TrmContent(解釋),JtIds(M：刑事、F：家事、G：一般、V：民事、A：行政)
動力交通工具,刑法所稱之「動力交通工具」，是指藉由汽油、柴油等引擎或電力來推動的交通工具，例如汽車、機車、電動車等；反之，若是單純藉由人力或獸力來推動的交通工具，例如馬車、牛車、一般的自行車等，即非「動力交通工具」。相關條文，例如刑法第185條之3第1項：「駕駛動力交通工具而有下列情形之一者，處二年以下有期徒刑，得併科二十萬元以下罰金：一、吐氣所含酒精濃度達每公升零點二五毫克或血液中酒精濃度達百分之零點零五以上。二、有前款以外之其他情事足認服用酒類或其他相類之物，致不能安全駕駛。三、服用毒品、麻醉藥品或其他相類之物，致不能安全駕駛。」及第185條之4：「駕駛動力交通工具肇事，致人死傷而逃逸者，處一年以上七年以下有期徒刑。」。,M             
時間效力,"成文法規因為時間經過所產生的效力，可分為效力發生、效力消滅、效力追溯等3部分。
1、效力發生，指成文法規自一定的時間點開始生效之意。例如：法律，依中央法規標準法規定，明定自公布日施行者，自公布日起算至第3日起發生效力。但為了避免部分人民或有關機關沒辦法即時知悉或即時實施配套作業，可另訂施行日期，並自該特定日起發生效力。
2、效力消滅，指成文法規自一定時間點以後就失去效力之意。通常會因時間經過（明定有效期間或期間限制）、明示廢止、經違憲宣告失效、新法取代、自動失效等原因而效力消滅。
3、效力追溯，成文法規原則上只適用於其生效後發生之事件。但有時會適用於事實或法律關係已終結的事件（真正的溯及既往），或適用於事實或法律關係已存在且尚未終結的事件（非真正的溯及既往），這就是效力溯及。關於效力溯及，必須考慮法安定性原則、信賴保護原則、過渡規定、給與補償等情形來處理，才沒有違憲的疑慮。",A             
未了未遂,指犯罪人已經著手實行犯罪了，但還沒完成計劃中所有的犯罪行為，這一類的犯罪人只要單純放棄繼續實行自己預想的犯罪行為，就可以有效地阻止損害發生，也滿足中止行為的要求；例如犯罪人甲計劃強制性交乙，但在脫掉乙的衣服後，想起妻兒而突然良心發現，決定離開現場，因為甲是自願放棄繼續侵害乙，也保全了乙的性自主利益，所以甲不會成立強制性交既遂罪，只構成強制性交的中止未遂，法官可以減輕或免除甲的刑事責任。,M             
已臻明灼,已經非常明白,G             
刑法分則加重,指犯罪行為符合一定要件下，予以加重處罰，成立另一獨立罪名。如成年人故意對兒少犯罪，加重其刑至二分之一。此加重結果，法定最重本刑如超過有期徒刑5年，縱判處6月以下，仍不可易科罰金，與刑法總則加重（如累犯）只單純加重量刑，並非另一獨立罪名不同。,M             
地價評議,直轄市或縣市政府依據法律，組織之地價及標準地價評議委員會，所進行地價及標準地價評議委員會組織規程第3條規定之地價、標準地價等事項的評議行為（土地法155條、平均地權條例第4條、地價及標準地價評議委員會組織規程第2條）。,A             
準備程序,法院為使言詞辯論順利進行，而在言詞辯論程序前的先開一次庭，以預作準備。這個程序主要進行闡明訴訟關係，或進一步整理及協議簡化爭點等，使複雜的訴訟能集合訴訟資料，整理爭點及證據，使言詞辯論容易終結進行。,G             
寄藏,指受寄藏或藏匿行為。實務解釋上，認凡為他人保管，並足以使失主難以發現之行為，均足以稱寄藏，不以單純受寄託者為限。,M             
借名契約,又稱為「借名登記契約」。指雙方約定由一方將自己的財產以他方的名義登記，但仍由自己管理、使用、處分，他方則同意就該財產以自己的名義出名登記的契約。該契約內容，若未違反法律的強制禁止規定、公共秩序或善良風俗，原則上應承認其法律上效力。,V             
期約,事先約定於一定時間履行該約定。,M             
超法規阻卻違法事由,指某該當構成要件的行為，雖不是法定的阻卻違法事由（例如正當防衛），但因符合整體法秩序，而得以否定其違法性。例如，拳擊選手自願進行比賽而毆傷對手，就傷害對方的行為因屬於「得被害人承諾」的超法規阻卻違法事由，故不具有違法性。,M             
變更登記,"指權利人名稱或原登記其他事項變更的登記。土地登記規則規定的變更登記，包含標示變更登記、所有權變更登記、管理機關變更登記及住址變更登記等。
例如：某土地本來是甲所有，後來甲賣給乙，就要辦理變更登記，將土地所有權人變更為乙。",A             
在卷可稽,附卷可查、在卷可查、在卷可證的意思。,G             
恐嚇危害安全罪,此罪我們一般稱為恐嚇罪，也就是對特定的一人或數人，告知將對其生命、身體、自由、名譽或財產作出不利之事，而讓對方心生恐懼。恐嚇的方式可以用言語、書面或動作，例如在信封內放一顆子彈寄給對方，就是在表達要危害收信人生命或身體安全的意思。恐嚇不能夠有加害的行為，例如恐嚇要殺對方，如果真的殺害對方，就會成立殺人罪，而不是恐嚇罪。恐嚇不一定是直接對對方為之，間接透過第三人表達恐嚇的意思，也會成立恐嚇罪。又向對方告知不利的事情，必須是不法的事情，如果是正當行使權利的行為，例如告知對方如果違約，將會到法院提出訴訟，因這是屬於人民訴訟權的正當行使，並不會構成恐嚇罪。另外，恐嚇的對象如果是不特定的多數人，就不是成立本罪，而是成立刑法第151條恐嚇公眾罪，但這兩個罪名同樣最重都可以判處兩年有期徒刑。,M             
攻擊性證據,能夠證明犯罪事實存在，在訟訟法上可以作為證據，用以證明被告犯罪之強而有力的證據。例如殺人案件中有被告指紋的兇刀，就是可以證明被告持兇刀殺人之強而有力之證據，是為攻擊證據。,M             
綜上所述,綜合以上的說明,G             
渠等,他（們）、她（們）、這些人的意思。在陳述中作為某一群人的代稱、簡稱,G             
特別權力關係,人民因法律規定、當事人意志或特定事實而產生一定身分或地位，從而與公行政間形成超過一般情形、特別密切的特殊權力支配關係，例如公務員、軍人、學生、受刑人等。此關係強調行政主體的優越性與受支配者的服從性，在此關係下，具有該等身分或地位的人民不得主張享有基本權利，也不得向法院尋求救濟。但近20餘年來已逐漸被認為與法治國原則有所背離，在司法院大法官多件解釋的影響下，已逐步突破限制，特別在司法救濟方面有顯著的改善。,A             
勘驗,一種調查證據的方式，指用五官去感受覺知物的存在和狀態的過程，例如檢察官到犯罪現場單純地看或聽聞犯罪現場的狀況。勘驗通常會做成勘驗筆錄，在遇到一些難以扣押而需要在法院提出的證據時（例如體積過大或保存不易），通常也會用勘驗筆錄作為證據提出（參考維基百科）。,F             
