TrmTerm(法律名詞),TrmContent(解釋),JtIds(M：刑事、F：家事、G：一般、V：民事、A：行政)
僭行公務員職權罪,刑法第158條之僭行公務員職權罪，指行為人無此職權，卻冒充公務員而僭越行使其職權。例如：詐欺集團成員佯稱書記官向被害人收取款項，因書記官依法無向人民收取款項之職務，自無由使人假冒官銜以行使之餘地，是其所為，僅犯刑法第159 條之冒充公務員服章官銜罪。,M             
故意與行為同時存在原則,指行為人著手實行構成要件行為時，同時應存在故意，才會成立故意犯罪。換句話說，縱使行為人在事前、事後存在故意，而未在著手實行不法行為時具備故意的話，也不符合「故意與行為同時存在原則」。,M             
扣除額,"扣除額是申報個人綜合所得稅時，為計算綜合所得淨額（稅基）的減項，又分為「一般扣除額」及「特別扣除額」。一般扣除額又可分為「標準扣除額」（固定金額）及「列舉扣除額」，由納稅義務人申報時選擇其中一種來減除，「列舉扣除額」及「特別扣除額」的項目及金額上限是法定的，分別規定於所得稅法第17條規定。另財政部公告109年度綜合所得稅標準扣除額、薪資所得特別扣除額及身心障礙特別扣除額分別如下：一、標準扣除額：單身者扣除120,000元；有配偶者扣除240,000元。二、薪資所得特別扣除額：每人每年扣除數額以200,000元為限。三、身心障礙特別扣除額：每人每年扣除200,000元。",A             
連續犯,連續犯是指行為人基於同一的或者概括的犯罪故意，連續實施性質相同的數個行為，且彼此之間具有關連性，而觸犯同一罪名。例如持槍連續殺人，連續多次販賣毒品等。刑法連續犯之規定已於95年7月1日刪除。,M             
拍定價額,請詳見有關「拍定金額」之解釋。,V             
團股,請參考「馨股」的解釋。,F             
所得稅,以納稅義務人的所得額為課稅對象的各種稅收的統稱。依據所得稅法第1條之規定，所得稅分為綜合所得稅及營利事業所得稅。,A             
國防以外秘密,指文書、圖畫、消息或物品等與國家政務或事務上具有利害關係而應保守之秘密者而言。個人之車籍、戶籍、口卡、前科、通緝、勞保等資料及入出境紀錄或涉個人隱私或攸關國家之政務或事務，均屬應秘密之資料，公務員有保守秘密之義務。,M             
106年度調家訴字第3號,請參考「106年度家訴字第831號」的解釋。,F             
訴訟關係,具體之刑事案件，經過起訴而法院受理之後，法院與當事人間都受到刑事訴訟法之規範，所產生之權利義務關係，就稱為訴訟關係。,M             
計畫遵行請求權,"具有法律拘束力的行政計畫，受計畫所影響的相對人有權要求行政機關必須遵守計畫及貫徹執行，並應排除違反計畫的行政措施的作成。
例如：都市計畫是具有法律拘束力的行政計畫，依照都市計畫法規定，建築主管機關不可在住宅區核准建造工廠，如果有該情況發生，學理上有認為該住宅區內的人民，可基於計畫遵行請求權，要求建築主管機關不予核發建造許可（若主管機關仍核發建造許可，能否救濟及如何救濟，則應依相關行政救濟之法律規定為之）。",A             
行政處分之附款,"行政處分是行政機關對特定具體事件所進行的規制。而某行政處分除了主要的規制外，另外定有「附加規定」，對該主要規制進行補充或限制時，該附加規定即行政處分的附款。根據行政程序法第93條第2項規定，附款有「期限」、「條件」、「負擔」、「廢止保留」、及「負擔保留」5種。
例如：主管機關發給的營業許可附有應設置停車場的條件，此時該營業許可便須在處分相對人完成設置停車場的附加條件後才會發生效力。",A             
如前在卷,都在卷宗內,G             
持有,把物品放在自己保管、支配的狀態中。,F             
贍養費,"依照目前的法律規定，在法院「判決」離婚的情形下，如果無過失的一方因為離婚導致生活困難，可以向對方請求贍養費。
如果是當事人自行協議離婚（含調解離婚、和解離婚）的話，除非當事人之間有協議給贍養費，否則依照目前的法律規定，是沒有贍養費請求權的。
",F             
行政計畫,依行政程序法第163條規定，行政計畫是指行政機關為將來一定期限內達成特定之目的或實現一定之構想，事前就達成該目的或實現該構想有關之方法、步驟或措施等所為之設計與規劃。,A             
抵押物,債務人或第三人為了確保債務的清償，而提供債權人設定抵押權之不動產、動產、物權、航空器、船舶（民法第860條、第881條之1第1項、第882條、動產擔保交易法第4條、海商法第33、34條、民用航空法第19條參照）等物。當債務人於清償期屆至仍未清償時，債權人可就該物進行拍賣 （稱為實行抵押權），並以賣得價金優先於普通債權人受償。例如：甲向乙借款100萬元，乙為確保該債權獲得實現，要求甲以其弟丙所有之A屋一棟設定抵押權給乙，將來若甲屆期未清償時，乙於取得執行名義後，就可以聲請強制執行，將A屋拍賣，並以所得價金優先受償，A屋就是抵押物。,V             
土地使用分區,政府將土地劃分成不同類型之使用分區，並規定各分區類型的允許用途。例如依都市計畫法，政府得將土地劃定成住宅區、商業區、工業區、特定專用區等使用區，並限制其用途。,A             
三階層理論,關於犯罪成立的檢驗結構，目前比較多數的看法認為，可分成構成要件該當性、違法性、有責性（罪責）三個階層。檢驗犯罪是否成立時，必須三個階層皆通過審查，才能成立犯罪。,M             
審判權衝突,法院受理案件的權限發生衝突，以普通法院與行政法院為例，如果兩個法院都認為自己有受理某一案件的權限，則稱為積極衝突；如果兩個法院都認為自己沒有受理某一案件的權限，則稱為消極衝突。審判權衝突的解決方式，可參考行政訴訟法第12條之2的規定。,A             
刑事處遇,任何有計畫減少被告再次犯罪的干預措施。,M             
受刑人,受刑人又稱囚犯或犯人，一般指經法院刑事判決確定而被囚禁監獄的人。至於法院判決確定前的羈押、收容、安置在「看守所」、「少年觀護所」等矯正機關之人，稱為被告(少年)或被收容人。,M             
自動履行,關於金錢請求權的強制執行，執行法院會先對債務人發執行命令，促其於30日內依照執行名義自動履行或將金錢支付執行法院轉給債權人（強制執行法第122條之2參照）。自動履行就是債務人自行依照執行名義內容履行義務。,A             
本證,本證乃為證明被告犯罪事實之證據，又稱為攻擊證據或積極證據。在當事人進行主義之下，應由原告負證明被告犯罪之舉證責任，即檢察官應提出證明被告犯罪事實之證據，即為本證。例如：檢察官所提出證明被告有殺人犯罪事實之證據，如目擊證人甲，通常即為積極證據或本證。,M             
限制出海,指國家機關依據法律規定，對特定自然人採取禁止其出海的強制處分措施。縱未離開國境，例如搭船去澎湖、金門等出海行為，亦在禁止之列。,"F,M           "
自然人,"出生而存在於自然界的人類。
例如：有血有肉的一般人。",A             
訴追,是指對犯罪嫌疑人提出告訴（公訴、自訴）、追究其刑事犯罪責任。,M             
賭博罪,指表示提供賄賂或不正利益，以期對方接受之意，相關規定例如公職人員選舉罷免法第99條第1項「對於有投票權之人，行求期約或交付賄賂或其他不正利益，而約其不行使投票權或為一定之行使者，處三年以上十年以下有期徒刑，得併科新臺幣一百萬元以上一千萬元以下罰金。」。,M             
行政罰法,針對人民違反行政法上義務，而受罰鍰、沒入或其他種類行政罰的處罰時，所制定適用於各類處罰事件之共通規定的法律，目的是讓行政罰的解釋與適用有一定的規定可以遵循。,A             
合有未核,應為「核有未合」之誤寫，意指審查有不相符之處。,A             
不另無罪之諭知,不能證明被告犯罪或其行為不罰時，在單純一罪或數罪併罰案件，會以判決主文宣示無罪；倘為實質上或裁判上一罪，法院認一部成立犯罪，其他被訴部分不能證明犯罪時，僅能於主文諭知有罪，並於理由內說明他部因屬實質上或裁判上一罪，故不另為無罪諭知。,M             
執行費,"因強制執行直接產生的費用，包括聲請強制執行費用、參與分配費用及其他必要費用等。債權人聲請強制執行，原則上應先繳納執行費，將來可以從債務人的執行財產優先受清償（強制執行法第28條）。
有關強制執行費的徵收標準(強制執行法第28條之2)，請參考[http://www.judicial.gov.tw/assist/assist04.asp|司法院]。",V             
陰謀犯,兩人以上，互為犯意表示，共同協議計謀實施犯罪而言，故必須有兩人以上，彼此均有犯意的表示與謀議，才是陰謀犯。,M             
失敗未遂,指依行為人依其主觀認知，誤認其所採行的方法在客觀上不再可能實現結果，或繼續犯罪已喪失其意義，故而自行決定停止犯罪行為。,M             
再開辯論,指刑事訴訟辯論終結後，法院發現卷內事證漏未調查，或認為尚有其他事證應該調查，或者被告與被害人達成和解，而影響本案的量刑等情形，為使本案事實認定或量刑更加妥適，而裁定再行開啟辯論程序。,M             
收養,收養是透過一定的法律程序，把別人的孩子當成自己的孩子，需要經過法院認可才有效。一旦收養了，養父母與養子女間的法律關係就和親生子女一樣。,F             
予以,給予的意思。,G             
歸責原則,"錯誤、損害或是罪刑要歸給誰來負責。
例如：國家賠償法第2條規定的賠償責任，是以公務員執行職務行使公權力時，因故意或過失不法侵害人民自由或權利為要件，所以是以公務員執行職務行使公權力時有故意或過失作為歸責原則。也就是必須執行職務行使公權力的公務員有故意或過失的歸責事由，國家才會對因此發生的損害，有應當負賠償責任的情形。",A             
認諾,"原告起訴後，被告向法官表示完全同意原告的請求，不保留任何抗辯，就叫作「認諾」。在被告認諾訴訟標的的情形下，原則上法院一定要判被告敗訴。
但是法律也有規定在某些訴訟中，被告不得認諾訴訟標的，比方說有關身分關係的訴訟。
",F             
要非,「並不是」的意思。,F             
行政管制,為完成行政目的，所為的不利處分。不以制裁為目的，性質上屬於依法課與相對人義務的權力作用。行政管制侵害人民的權利，屬於干涉行政，必須有法律的依據。此外，行政管制雖是不利的處分，但不是「裁罰性不利處分」，所以不適用行政罰法的各項規定。,A             
土地複丈成果圖,土地因分割、合併、鑑界等原因，得申請土地複丈，複丈完竣後，應發給申請人土地複丈成果圖。以鑑界複丈為例，鑑定土地界址時，複丈人員應先實地測定所需鑑定之界址點位置，協助申請人埋設界標，並應於土地複丈圖上註明界標名稱、編列界址號數及註明關係位置，其鑑定界址結果，地政事務所應核發土地複丈成果圖。,A             
犯罪客體,是指行為所侵害或攻擊的具體對象，包括被害人或被害客體。被害人係指直接被侵害者而言，包括自然人及法人。被害客體是指法益之被損害者，法益為法律上保護之利益，不必限於權利，凡一切法益，皆得為犯罪目的物，例如：生命、身體、名譽等。,M             
少調字第733號,請參考「106年度家訴字第831號」的解釋。,F             
處分通知書,行政處分是行政機關就公法上具體事件對外直接發生法律效果的單方行政行為。行政處分要對外通知或送達才會發生效力。處分通知書就是一種以書面方式通知或送達行政處分的文書，如其內容符合上述行政處分的要件，該處分通知書即是行政處分。,V             
詐害債權,債務人的財產是其全體債權人實現債權內容的總擔保，因此，在債務清償前，債務人如積極減少財產(如贈與財產) 或消極增加債務(如設定抵押債務)，造成債權無法或難以實現，損害債權人的債權時，該等行為即屬詐害債權行為。債權人基於保全債權獲得清償的目的，可向法院聲請撤銷債務人的詐害債權行為，回復債務人原有的財產狀態（民法第244條規定參照）。,"M,V           "
扶養義務人,指有扶養能力而應向扶養權利人盡扶養義務的人。民法規定負扶養義務者有數人時，應履行義務的順序為：(一)直系血親卑親屬、(二)直系血親尊親屬、(三)家長、(四)兄弟姊妹、(五)家屬、(六)子婦、女婿、(七)夫妻之父母。另夫妻負扶養義務的順序與直系血親卑親屬同。例如：甲有受扶養的必要，他的配偶、子女、父母、兄弟都有扶養的能力，則配偶及子女應優先盡扶養的義務。,F             
當然錯誤,"行政機關基於法定職權，並為協助下級機關或屬官統一解釋法令，得以解釋函令針對法規有疑義的部分作成解釋。然而針對同一法規條文的解釋內容，偶爾會有變動的情形，在前、後解釋內容有不一致時，並不表示前解釋函令所為的解釋當然錯誤。如果在後解釋函令發布前，依前解釋函令所作成的行政處分已經確定，除前解釋函令確實有違法的情形外，該已確定的行政處分並不受後解釋函令的影響，以維持法律秩序的安定(司法院釋字第287號解釋意旨參照) 。
","A,G           "
復,又,G             
控訴原則,即法院不告不理原則。法院審理的對象及標的，以檢察官起訴的被告及犯罪事實為限，不得對未經起訴之被告及犯罪事實進行審判。控訴制度下，由檢察官負責偵查並追訴犯罪，在法庭上負擔起證明被告犯罪的責任，審判者即法官不再涉入案件的偵查與訴追，而只負責審理檢察官起訴的案件，並且根據法庭上檢、辯雙方辯論結果作成判斷。在我國，隨著從歐洲引進的現代檢察官制度，使刑事審判從「糾問式的審理構造」中解放，走向有：職司審判的法官、負責控告追訴犯罪的檢察官，及為自己利益辯護的被告（與他的辯護人）並立的三面訴訟關係。在刑事訴訟法，這樣的三面關係是維持公平審判的重要基本制度。此原則明定於刑事訴訟法第266條：「起訴之效力，不及於檢察官所指被告以外之人。」及第268條：「法院不得就未經起訴之犯罪審判。」在控訴原則下，得以確保法院立於公正客觀之地位聽審，防止法院身兼犯罪追訴者與審判者雙重身分的糾問審理下，而有對被告不利的預斷。,M             
資為抗辯,作為抗辯的說明、作為答辯的理由,G             
實質確定力,又稱為既判力，指判決確定後，判決主文判斷過的權利義務關係，對於當事人及法院所發生的拘束效力，除透過再審程序廢棄原確定判決外，當事人間不能針對主文已經判斷過的事項，在另案為不同的主張，法院也不能作成相反的判斷。,V             
法律意見書,行政訴訟法第162條規定，行政法院認有必要時，得就訴訟事件的專業法律問題，徵詢從事該學術研究的人（行政法院組織法第15條之8、法院組織法第7條之4亦有類似規定）。專家學者就專業法律問題以書面提出其法律上的意見，該書面即屬法律意見書。,A             
究無不合,終究是沒有不符合（或不合理）。,G             
訴追條件,檢察官或自訴人向法院起訴時，必須具備的條件，稱為訴追條件（例如，告訴乃論之罪的情形，告訴人依法提出告訴）。如果沒有具備訴追條件而起訴的話，法院應該為不受理判決。,M             
客體錯誤,客體錯誤就是指行為人原本想要針對的人、事、物因為陰錯陽差而變成不同的對象。例如甲誤認乙為丙而殺之。,M             
足憑,足以佐證、足以證明,G             
緊急命令,依中華民國憲法增修條文第2條第3項規定，緊急命令是總統為應付緊急危難或重大變故，直接依憲法授權所發布，具有暫時替代或變更法律效力的命令，例如總統為因應國家發生921大地震的處置急需，而於88年9月25日發布緊急命令。因緊急命令是對立法部門制定法律、行政部門負責執行法律的憲法原則，所定的特別例外，依司法院釋字第543號解釋意旨，應以不得再授權為補充規定即可逕予執行為原則，內容應力求詳盡而周延。立法院就緊急命令行使追認權，只可以就其當否為決議，不得逕予變更其內容，如果認為部分內容不當，但其餘部分對於緊急命令的整體應變措施並無影響而有必要時，得為部分追認。,A             
非法經營銀行業務罪,銀行是高度管制的特許行業，為保障存款人權益及國家金融秩序，銀行法第29條規定，非銀行不得經營收受存款、辦理匯兌等業務。如果違反，依第125條規定，處三年以上十年以下有期徒刑。如犯罪所得達一億元，可處七年以上有期徒刑。,M             
廢棄改判部分,審理民事或家事事件的上級審法院，把下級審法院判決或裁定不適當的部分廢除，另外針對廢除的部分做成新的結論的意思。,F             
犯罪所得,因為違法行為所得、其變得之物或財產上利益及其孳息。如貪污犯收受之賄款、竊盜犯變賣贓物所得之金錢。,M             
致令不堪用,為刑法或特別刑法所規定的犯罪構成要件要素。例如，最常被提到的刑法第三百五十四條毀損罪所規定的「致令不堪用」，是指除同條的「毀棄」、「損壞」等兩種行為態樣以外，以其他方法使他人之物品喪失效用的意思。,M             
不正方法,刑法或刑事訴訟法所稱之「不正方法」，是泛指一切不正當之方法，至於個案中之判斷，則視各該規定之規範目的而定。例如刑法第339條之1第1項：「意圖為自己或第三人不法之所有，以不正方法由收費設備取得他人之物者，處一年以下有期徒刑、拘役或十萬元以下罰金。」所稱「不正方法」，是指違反正常收費流程，未實際支付應付之對價而取得物品而言；又刑事訴訟法第156條第1項：「被告之自白，非出於強暴、脅迫、利誘、詐欺、疲勞訊問、違法羈押或其他不正之方法，且與事實相符者，得為證據。」所稱「不正之方法」，是指一切類似於強暴、脅迫、利誘、詐欺、疲勞訊問或違法羈押，而侵害被告自白任意性之方法而言。,M             
訓示規定,法律規定的要件實現時，原則上要依該依法律規定的效果處理，但該規定如果屬於訓示規定時，則例外授權主管機關有一定的裁量空間，可以基於特別的理由不依規定的效果，而是依規定的立法精神來處理。,A             
上開,前述、上述,V             
合先敘明,首先就此部分為說明。,A             
收養之認可,指收養子女應向法院聲請認可。因我國社會素有養女問題存在，養女受虐、遭歧視或被販賣為娼的事經常發生，為杜絕弊害，有由國家機關積極干涉與統制的必要，故民國74年修正的民法即規定收養子女應聲請法院認可，法院不僅須就形式，且須就實質加以審查，未經法院認可，縱令已作成書面，也不能成立收養關係。,F             
合法通知,通常是指法院對於當事人、關係人的通知，如果通知的對象、時間、地點、格式等等，都符合法律的規定，就會發生一定的法律上效果。,F             
觀察勒戒,施用毒品者具有病患性犯人的特質，想要徹底戒除其毒癮，光靠生理治療（即將其隔離在勒戒處所，並治療其身癮發作時之戒斷症狀）是不夠的。在解除其身癮後，尚須透過心理治療（例如：個別、團體諮商），以增進戒癮動機、維持戒癮技巧，消除其對毒品的心理依賴。,M             
通姦,「通姦」是指有婚姻關係的人，與婚姻關係以外的人，雙方自願發生性器接合的行為。,F             
行政管理職權,"對機關運作擁有行政上的管理權限。
例如：兼任學校行政職務的教師，因被賦予行政管理職權，與全職行使公權力的公務員都有受特別規範的必要，依司法院釋字第308號解釋，該教師也適用公務員服務法。",A             
聲請停止強制執行,強制執行程序開始後，有回復原狀之聲請，或提起再審或異議之訴，或對於和解為繼續審判之請求，或提起宣告調解無效之訴、撤銷調解之訴，或對於許可強制執行之裁定提起抗告時，債務人或第三人得聲請法院定相當並確實之擔保，為停止強制執行之裁定（強制執行法第18條第2項、強制執行須知第6點第3項）。,V             
選任辯護人,被告自己選擇要請哪個律師幫忙打官司。,M             
致使不能抗拒,"刑法強盜罪所規定之「至使不能抗拒」，係指行為人所施以被害人之強暴、脅迫，足以壓抑被害人之抗拒，使其喪失意思自由，或使被害人身體上或精神上處於不能抗拒之狀態。
而是否已達「至使不能抗拒」程度，學說有不同見解。分述如下：
（一）一般標準說：即應依行為人之強制手段是否足以使一般人達到不能抗拒為準。
（二）被害人標準說：依照行為人之手段是否使個案中之被害人達到不能抗拒為判斷。
（三）折衷說：主張原則上應依客觀之標準加以判斷，但應考量被害人主觀之情事。
實務上採折衷說，指行為人之強制行為，就當時之具體事實予以客觀之判斷，足使被害人身體上或精神上達於不能或顯難抗拒之程度。所謂就當時之具體事實予以客觀之判斷，應以通常人之心理狀態為標準，綜合考量被害人（如年齡、性別、體能等）、行為人（如行為人體魄、人數、穿著與儀態、有無使用兇器、使用兇器種類等）以及行為情況（如犯行之時間、場所等）等各種具體事實之情況，倘行為人所施之強制行為依一般人在同一情況下，其意思自由因此受到壓抑，即應論以強盜罪。至於被害人實際上有無抗拒行為，與本罪成立不生影響。",M             
特種貨物及勞務稅條例,法律名稱。「特種貨物及勞務稅」即俗稱「奢侈稅」，鑑於部分地區房價不合理飆漲，且高額消費帶動物價上漲引發民眾負面感受，為促進租稅公平，健全房屋市場及營造優質租稅環境，以符合社會期待，故對不動產短期交易、高額消費貨物及勞務，自100年6月起課徵特種貨物及勞務稅。於104年6月，因實施房地交易所得合一實價課徵所得稅制度，故配合停止課徵銷售房屋、土地之特種貨物及勞務稅。,A             
准予備查,法院函文上寫「准予備查」，是指法院審核當事人提出的資料，符合法律規定的形式上條件之後，通知當事人准許把當事人提出的資料存檔，可供將來作為查驗的意思。,F             
旨揭,這個、此，表示主旨所揭示的行動、要求或計畫。,G             
社會國原則,社會國原則是指國家有義務消除人民經濟上及社會地位的不平等，並保障個人能夠享有符合人性尊嚴的最低生存條件，以建立公平、正義的社會秩序。,A             
兩稅合一,"關於公司所得的課徵稅捐，有2種類型：
1、獨立課稅制：認為公司是有獨立納稅能力的課稅主體，公司的營業所得課徵「營利事業所得稅」後，將盈餘分配給股東時，針對自然人股東受分配的股利所得須再課徵股東的「綜合所得稅」，兩稅分別獨立，並無關聯。
2、合併課稅制：為消除股利的重複課稅問題，理論上以公司為法律的虛擬體，不具獨立納稅能力，只是作為將盈餘傳送給股東的導管的論點出發，認為公司階段的所得與股東階段的股利，只能擇一課徵1次所得稅，不能重複課徵，此即「兩稅合一」。",A             
自始客觀不能,"「自始不能」的一種類型，是指標的物在債之關係成立時，就無法給付，而且任何人皆不能給付。例如：甲、乙於100年12月10日簽訂買賣契約，甲將其名下的Ａ屋出售給乙，但實際上Ａ屋早在100年11月10日就因為地震倒塌而無法交屋。由於甲、乙締約時A屋早已因地震倒塌，所以甲一開始就無法交A屋是「自始不能」，而且除了甲不能完成交付以外，也無人能夠完成交付，所以是「自始客觀不能」。
",V             
抵銷抗辯,被告在訴訟上主張對原告有債權，而以該債權與原告對被告的債權相互抵銷作為抗辯的方法。例如：甲主張乙向其借款300萬元至今未還，請求乙清償借款，乙抗辯他另對甲有一筆已經到期的500萬元的貨款債權，甲也至今未付，二者相互抵銷結果，甲對乙不能為任何請求。一旦法院判決認定乙的抵銷抗辯有理由並確定，該判決在乙抵銷的額度內，具有既判力（民事訴訟法第400條第2項），甲日後不得就該抵銷的300萬元借款部分再向乙請求，法院也不能做相反的認定。,V             
適,剛好,G             
扣押命令,債權人聲請執行法院就債務人對於第三人的金錢債權（例如：租金、工程款、貨款等）強制執行時，由執行法院核發的一種執行命令，目的在於禁止債務人收取或處分該對於第三人的債權，並且禁止第三人向債務人清償。例如：甲積欠乙50萬元的債務，甲到期無法還款，乙獲得勝訴確定判決後，向法院聲請強制執行。此時，乙聲請法院對甲在丙銀行中的存款50萬元強制執行，執行法院就會對丙銀行核發「扣押命令」，禁止甲提領該50萬元，同時禁止丙銀行支付50萬元給甲。,V             
老百姓,民眾,G             
訴外裁判,法院對未經起訴或上訴之事項，或起訴、上訴效力所不及之事項所為的裁判,M             
聲請訴訟救助,當事人提起訴訟時，依法要先繳納裁判費，或在訴訟進行中如有聲請調查證據的必要，也要交調查證據的費用，如果不繳費，法院會裁定駁回起訴、或沒辦法進行證據調查程序。為了避免當事人因為貧困無法繳納這些費用，導致訴訟權利無法獲得保護。法律規定，如果當事人具備一定要件，可以聲請法院准許暫緩繳交這些費用就可先做一定的訴訟行為。這種聲請就是聲請訴訟救助。,A             
上訴權人,上訴權人指的就是有權提起上訴的人，於立法上是限於一定範圍之人，才可以提出上訴。包括固有上訴權人(檢察官、自訴人和被告)、獨立上訴權人(被告之法定代理人或配偶為被告之利益、檢察官對於自訴案件之判決)、代理上訴(原審之代理人或辯護人以被告之名義，為被告之利益提起上訴)。,M             
輔佐人,輔佐人在少年保護事件中的地位與刑事案件中的辯護人類似，但輔佐人的任務比較特別的是，除了要維護少年程序上的權利外，還要協助少年法院促成少年的健全成長。,Y             
訴之追加,"原告起訴後，針對訴訟當事人、訴訟標的或訴之聲明提出新的主張，並與原有的主張合併。
例如：原告提起撤銷訴訟，請求法院判決撤銷訴願決定及原處分，訴訟進行中再主張被告機關應合併給付損害賠償，追加訴之聲明，請求法院判命被告機關應給付新臺幣5萬元的賠償。",A             
限制行為能力,「行為能力」，是可以從事法律活動的資格，所謂「限制行為能力」，則是此項資格受到限制。依照民法第13條第2項規定，滿7歲未滿20歲的未成年人，只有限制行為能力，但也有例外，例如結婚就不再限制行為能力。限制行為能力人的住所，依法律規定要跟他的法代理人（通常是父母）一樣，限制行為能力人從事法律活動，原則上必須得到法定代理人的允許，才會有效。,V             
因果關係中斷,行為與結果間的因果關係因為另有其他條件的介入，導致原有的因果關係中斷。例如：甲持刀殺乙，乙受傷就醫途中遭丙闖紅燈開車撞死，乙死亡的結果與甲的殺人行為間的因果關係，因為丙的行為介入而中斷。,V             
因果關係,事情發生原因與結果之間的關係。,M             
反請求,甲向乙提出一個訴訟或非訟事件的請求（比方說甲告乙離婚），乙在同一個程序中，也對甲提出一個訴訟或非訟事件的請求（比方說乙告甲請求剩餘財產分配），就稱為「反請求」。,F             
公務員便利脫逃罪,規定於刑法第163條第1項：「公務員縱放職務上依法逮捕拘禁之人或便利其脫逃者，處一年以上七年以下有期徒刑。」及第3項：「第一項之未遂犯罰之。」，若所縱放或便利脫逃者非在職務上逮捕拘禁之中，縱係依法逮捕拘禁之人，只能論以第162條之縱放或便利脫逃罪。,M             
本位繼承,是「代位繼承」的對稱，由法定繼承人本人基於本來的繼承順序直接取得被繼承人遺產的繼承，稱為「本位繼承」。例如：被繼承人的子女是被繼承人的本位繼承人。當被繼承人死亡時，如果被繼承人的子女尚生存，則由被繼承人的子女本位繼承被繼承人的遺產。如果被繼承人的子女已經先於被繼承人死亡，其對被繼承人遺產之應繼分，則由孫輩直系血親代位繼承。,F             
容許構成要件錯誤,行為人誤認客觀上存在阻卻違法事由之前提「事實」，但實際上不存在，而實施犯罪構成要件之行為。,M             
顯非可採,顯然不可採信。,G             
單方行政行為,行政機關不受相對人意思的拘束，就可以依它的職權單方作成決定的行政行為，就是單方行政行為。舉例來說，行政處分是行政機關就公法上的具體事件，對人民單方面作成決定，就可以拘束人民直接發生法律效果的一種單方行政行為（行政程序法第92條規定參照）。,A             
控制下交付,"所謂的「控制下交付」，是指在司法機關的監控下，違禁品、贓物或毒品，可以繼續交到貨主手中，藉以追查幕後主要行為人、其他共犯或上下游的集團成員，目的是要等到最後再一舉人贓俱獲，以追捕幕後藏鏡人。
依毒品危害防制條例第32條之1及第32條之2的規定，在跨國性毒品犯罪，於一國或多國主管當局知情或監督控管下，允許貨物中之毒品及人員，運出、通過或運入我國領土，並於毒品及人員通關後，得使用防制毒品散逸及犯罪嫌疑人逃逸之必要方法及作為，直至運送管道及幕後犯嫌出現或犯罪真相顯露，才展開查扣毒品及追捕人犯行動之偵查方式。",M             
危險共同體,"指為了達成特定目的，組織成彼此信賴、互助之團體。如登山團體、潛水團體、探險團體等。

",M             
報酬,行為人於一定或不定期限內為他方服勞務，他方所給付的對價，即屬報酬。報酬的認定，不在於收取之對價其名目究竟為何，而是取決於是否與提供勞務間具有對價關係。實務上，符合勞務對價性的經常性給與，包括薪資、津貼等現金給與，及非現金的各種員工福利，例如有薪假期、醫療保險等，都可認為屬於報酬的範圍。,"A,V           "
繼承人,於他人死亡時，應承受死者（被繼承人）財產上的權利、義務（屬於被繼承人本身者除外）的人。依民法規定，除了被繼承人的配偶以外，其餘被繼承人親屬的繼承順序依序為：一、直系血親卑親屬（例如：子女、孫子女）、二、父母、三、兄弟姊妹、四、祖父母（民法第1138條）。,V             
聲明不服,"對於行政機關作成的訴願決定、行政處分，或法院作成的民、刑事及行政訴訟裁判等，表達不服，並按法定程序尋求救濟。
例如：提起行政訴訟、訴願或提起上訴、抗告、再審等。",A             
相對成交,相對成交指行為人意圖造成集中交易市場某種有價證券交易活絡的表象，連續使用自己或別人名義的複數帳戶，委託券商同時或先後用一定價格，為相反方向的委託賣出或買進，而相互成交的空頭買賣行為（證交法第155 條第1項第5款）。,M             
妨礙性自主罪章,為刑法之罪章名，刑法分則第16章妨害性自主罪章包括刑法第221條強制性交罪、第222條加重強制性交罪、第224條強制猥褻罪、第224條之1加重強制猥褻罪、第225條乘機性交猥褻罪、第226條強制性交猥褻罪之加重結果犯、第226條之1強制性交猥褻等罪之殺人重傷害之結合犯、第227條對於未滿十四歲或十四歲以上未滿十六歲之男女為性交猥褻罪、第228條利用權勢性交或猥褻罪及第229條詐術性交罪。,M             
限制登記,依土地登記規則第136條規定，土地法第78條第8款所稱限制登記，係指限制登記名義人處分其土地權利所為之登記，包括預告登記、查封、假扣押、假處分或破產登記，及其他依法律所為禁止處分之登記。,V             
專利侵害鑑定,專利侵害鑑定之判斷流程，在發明、新型專利侵權是先解釋專利請求項，再解析專利解釋後請求項的技術特徵及被控侵權對象對應之技術內容，分別進行比對判斷；設計專利侵權則是先確定專利權範圍，再就專利之圖式與被控侵權對象對應該圖式之設計內容進行整體比對，判斷是否相同或近似（參考「專利侵權判斷要點」105年版）。,A             
智識程度,指人的智慧才識之程度，此程度通常受人的學經歷所影響。犯罪行為人的智識程度，是刑法所規定法官決定量刑時應予考慮的因素之一。,M             
罪責原則,罪責原則係以人類具有自由與正確判斷合法或非法之能力為基礎，故刑法唯有對於具備決定自由的行為人，加以刑罰之制裁與責難，才有刑法上的意義，即唯有確認行為人在刑法上可責難，而具有罪責之時，始足以引致國家刑罰權的行使，而得對於行為人科處刑罰。,M             
