code,name_raw,name,market,industry,isin,listed_date,cfi,yfinance_symbol,security_type_guess,parse_quality,source_section,source_line,source_col_pair
2415,錩新,錩新,上市,電子零組件,,,,2415.TW,股票,wide_explicit_header,wide_table,47,7
2417,圓剛,圓剛,上市,電腦及週邊設備,,,,2417.TW,股票,wide_explicit_header,wide_table,47,5
2419,仲琦,仲琦,上市,通信網路,,,,2419.TW,股票,wide_explicit_header,wide_table,77,6
2420,新巨,新巨,上市,電子零組件,,,,2420.TW,股票,wide_explicit_header,wide_table,48,7
2421,建準,建準,上市,電子零組件,,,,2421.TW,股票,wide_explicit_header,wide_table,49,7
2423,固緯,固緯,上市,其他電子,,,,2423.TW,股票,wide_inherited_header,wide_table,3,9
2424,隴華,隴華,上市,電腦及週邊設備,,,,2424.TW,股票,wide_explicit_header,wide_table,48,5
2425,承啟,承啟,上市,電腦及週邊設備,,,,2425.TW,股票,wide_explicit_header,wide_table,49,5
2426,鼎元,鼎元,上市,光電,,,,2426.TW,股票,wide_explicit_header,wide_table,11,6
2427,三商電,三商電,上市,資訊服務,,,,2427.TW,股票,wide_explicit_header,wide_table,63,8
2428,興勤,興勤,上市,電子零組件,,,,2428.TW,股票,wide_explicit_header,wide_table,50,7
2429,銘旺科,銘旺科,上市,電子零組件,,,,2429.TW,股票,wide_explicit_header,wide_table,51,7
2430,燦坤,燦坤,上市,電子通路,,,,2430.TW,股票,wide_explicit_header,wide_table,43,8
2431,聯昌,聯昌,上市,電子零組件,,,,2431.TW,股票,wide_explicit_header,wide_table,52,7
2433,互盛電,互盛電,上市,其他電子,,,,2433.TW,股票,wide_inherited_header,wide_table,4,9
2434,統懋,統懋,上市,半導體,,,,2434.TW,股票,wide_explicit_header,wide_table,58,4
2436,偉詮電,偉詮電,上市,半導體,,,,2436.TW,股票,wide_explicit_header,wide_table,59,4
2437,旺詮,旺詮,上市,電子零組件,,,,2437.TW,股票,wide_explicit_header,wide_table,53,7
2438,翔耀,翔耀,上市,光電,,,,2438.TW,股票,wide_explicit_header,wide_table,12,6
2439,美律,美律,上市,通信網路,,,,2439.TW,股票,wide_explicit_header,wide_table,78,6
2440,太空梭,太空梭,上市,電子零組件,,,,2440.TW,股票,wide_explicit_header,wide_table,54,7
2441,超豐,超豐,上市,半導體,,,,2441.TW,股票,wide_explicit_header,wide_table,60,4
2442,新美齊,新美齊,上市,電腦及週邊設備,,,,2442.TW,股票,wide_explicit_header,wide_table,50,5
2443,新利虹,新利虹,上市,電子零組件,,,,2443.TW,股票,wide_explicit_header,wide_table,55,7
2444,友旺,友旺,上市,通信網路,,,,2444.TW,股票,wide_explicit_header,wide_table,79,6
2448,晶電#,晶電,上市,光電,,,,2448.TW,股票,wide_explicit_header,wide_table,13,6
2449,京元電子#,京元電子,上市,半導體,,,,2449.TW,股票,wide_explicit_header,wide_table,61,4
2450,神腦,神腦,上市,通信網路,,,,2450.TW,股票,wide_explicit_header,wide_table,80,6
2451,創見#,創見,上市,半導體,,,,2451.TW,股票,wide_explicit_header,wide_table,62,4
2453,凌群,凌群,上市,資訊服務,,,,2453.TW,股票,wide_explicit_header,wide_table,64,8
2454,聯發科*,聯發科,上市,半導體,,,,2454.TW,股票,wide_explicit_header,wide_table,63,4
2455,全新,全新,上市,通信網路,,,,2455.TW,股票,wide_explicit_header,wide_table,81,6
2456,奇力新,奇力新,上市,電子零組件,,,,2456.TW,股票,wide_explicit_header,wide_table,56,7
2457,飛宏,飛宏,上市,電子零組件,,,,2457.TW,股票,wide_explicit_header,wide_table,57,7
2458,義隆,義隆,上市,半導體,,,,2458.TW,股票,wide_explicit_header,wide_table,64,4
2459,敦吉,敦吉,上市,電子通路,,,,2459.TW,股票,wide_explicit_header,wide_table,44,8
2460,建通,建通,上市,電子零組件,,,,2460.TW,股票,wide_explicit_header,wide_table,58,7
2461,光群雷,光群雷,上市,其他電子,,,,2461.TW,股票,wide_inherited_header,wide_table,5,9
2462,良得電,良得電,上市,電子零組件,,,,2462.TW,股票,wide_explicit_header,wide_table,59,7
2464,盟立,盟立,上市,其他電子,,,,2464.TW,股票,wide_inherited_header,wide_table,6,9
2465,麗臺,麗臺,上市,電腦及週邊設備,,,,2465.TW,股票,wide_explicit_header,wide_table,51,5
2466,冠西電,冠西電,上市,光電,,,,2466.TW,股票,wide_explicit_header,wide_table,14,6
2467,志聖,志聖,上市,電子零組件,,,,2467.TW,股票,wide_explicit_header,wide_table,60,7
2468,華經,華經,上市,資訊服務,,,,2468.TW,股票,wide_explicit_header,wide_table,65,8
2471,資通,資通,上市,資訊服務,,,,2471.TW,股票,wide_explicit_header,wide_table,66,8
2472,立隆電,立隆電,上市,電子零組件,,,,2472.TW,股票,wide_explicit_header,wide_table,61,7
2474,可成*,可成,上市,其他電子,,,,2474.TW,股票,wide_inherited_header,wide_table,7,9
2475,華映,華映,上市,光電,,,,2475.TW,股票,wide_explicit_header,wide_table,15,6
2476,鉅祥,鉅祥,上市,電子零組件,,,,2476.TW,股票,wide_explicit_header,wide_table,62,7
2477,美隆電,美隆電,上市,其他電子,,,,2477.TW,股票,wide_inherited_header,wide_table,8,9
2478,大毅,大毅,上市,電子零組件,,,,2478.TW,股票,wide_explicit_header,wide_table,63,7
2480,敦陽科,敦陽科,上市,資訊服務,,,,2480.TW,股票,wide_explicit_header,wide_table,67,8
2481,強茂,強茂,上市,半導體,,,,2481.TW,股票,wide_explicit_header,wide_table,65,4
2482,連宇,連宇,上市,其他電子,,,,2482.TW,股票,wide_inherited_header,wide_table,9,9
2483,百容,百容,上市,電子零組件,,,,2483.TW,股票,wide_explicit_header,wide_table,64,7
2484,希華,希華,上市,電子零組件,,,,2484.TW,股票,wide_explicit_header,wide_table,65,7
2485,兆赫,兆赫,上市,通信網路,,,,2485.TW,股票,wide_inherited_header,wide_table,1,7
2486,一詮,一詮,上市,光電,,,,2486.TW,股票,wide_explicit_header,wide_table,16,6
2488,漢平,漢平,上市,其他電子,,,,2488.TW,股票,wide_inherited_header,wide_table,10,9
2489,瑞軒,瑞軒,上市,光電,,,,2489.TW,股票,wide_explicit_header,wide_table,17,6
2491,吉祥全,吉祥全,上市,光電,,,,2491.TW,股票,wide_explicit_header,wide_table,18,6
2492,華新科,華新科,上市,電子零組件,,,,2492.TW,股票,wide_explicit_header,wide_table,66,7
2493,揚博,揚博,上市,電子零組件,,,,2493.TW,股票,wide_explicit_header,wide_table,67,7
2495,普安,普安,上市,其他電子,,,,2495.TW,股票,wide_inherited_header,wide_table,11,9
