Date,Call_IV_Mean,Put_IV_Mean,Call_IV_Std,Put_IV_Std,Call_Count,Put_Count,Call_Volume,Put_Volume,PCR (Trade Count),PCR (Volume)
2023-02-06,0.12436360102299651,0.07859940901529983,0.040674827892398346,0.05790438519778368,2040,1520,118833.0,81373.0,0.7450980392156863,0.6847676992081324
2023-02-07,0.08211058579397067,0.08809514916815053,0.036706195589784434,0.04269698198640563,2091,2493,119635.0,130769.0,1.1922525107604016,1.0930664103314247
2023-02-08,0.04736206790361161,0.09554923462049557,0.0655376563981404,0.07258540355272292,2714,3948,146191.0,214804.0,1.4546794399410463,1.4693380577463728
2023-02-09,0.15591631695999564,0.18278156960670136,0.024795289763612813,0.023969529025258018,987,1121,55180.0,60476.0,1.1357649442755826,1.0959768031895614
2023-02-10,0.18005830182932941,0.1731238675163581,0.039566516199531734,0.04522109637977249,1930,1589,111899.0,85925.0,0.8233160621761658,0.767879963181083
2023-02-13,0.23837829432116972,0.27315464406703405,0.06210798491998899,0.058963454842377305,2312,1730,133028.0,93814.0,0.7482698961937716,0.7052199536939592
2023-02-14,0.25706370688293867,0.34300127800654556,0.09299221976898277,0.06675037881933596,1527,1968,84209.0,108670.0,1.2888015717092338,1.290479639943474
2023-02-15,0.16331449638548562,0.24159946889750006,0.05771123101159677,0.13051816772679248,187,230,10055.0,14903.0,1.2299465240641712,1.4821481849825957
2023-02-16,0.13697424781509562,0.16271791919141743,0.024890288255320362,0.04975270812059422,279,448,15755.0,22708.0,1.6057347670250897,1.4413202158045064
2023-02-17,0.13437952254963922,0.2118348413615507,0.03206891865460812,0.11259359720241163,175,197,9470.0,11464.0,1.1257142857142857,1.210559662090813
2023-02-20,0.11784092056988885,0.17823699429618034,0.02565481041280852,0.05492676571867724,206,330,11199.0,18093.0,1.6019417475728155,1.6155906777390838
2023-02-21,0.10218703320764778,0.19192998494447952,0.03033796950055876,0.12292018074062322,147,263,8037.0,14489.0,1.7891156462585034,1.8027871096180166
2023-02-22,0.10728984606725728,0.13565951574161592,0.055337012235201384,0.046845712500689383,656,523,37814.0,26348.0,0.7972560975609756,0.6967789707515735
2023-02-23,0.0643124953296431,0.1141661838233393,0.04143912308745696,0.04247784043465534,1503,1955,85886.0,111193.0,1.300731869594145,1.2946580350697436
2023-02-24,0.1044302035880201,0.0661051880808305,0.04284787118031474,0.04354183341650061,1576,1782,92221.0,101797.0,1.130710659898477,1.1038375207382267
2023-03-01,0.026256967614320812,0.09135991404866606,0.03860121533386898,0.07230879807248777,3207,3660,181832.0,203994.0,1.1412535079513564,1.121881736987989
2023-03-02,0.09090867119851634,0.14762228629098312,0.02187369895890415,0.04881427358802716,1349,1126,76943.0,62587.0,0.8346923647146034,0.8134203241360488
2023-03-03,0.10563856739900444,0.11343631530473695,0.05561213793893332,0.03899762433308675,1267,1386,71294.0,81507.0,1.0939226519337018,1.1432518865542682
2023-03-06,0.08880985670961933,0.11789228547074707,0.03929834968796242,0.04701922837232053,1646,2729,91233.0,155469.0,1.657958687727825,1.7040873368189142
2023-03-07,0.060552052187088375,0.10741298936651385,0.04180529204317426,0.04994412891496719,1192,2167,65173.0,125977.0,1.8179530201342282,1.9329630368404094
2023-03-08,0.045740783753680285,0.09146824712289235,0.05009354947101211,0.0685612514117708,3506,2596,211638.0,149435.0,0.7404449515116942,0.7060877536170252
2023-03-09,0.16063193748156876,0.16870594269579645,0.03495567391232302,0.046355670910102634,1058,1094,62863.0,62594.0,1.0340264650283555,0.9957208532841259
2023-03-10,0.1789617533177464,0.16875605885647327,0.04294305583798778,0.08831269380043755,3095,1874,184769.0,105224.0,0.6054927302100162,0.5694894706363081
2023-03-13,0.1664421870379823,0.34337227194800685,0.05961819358857397,0.08212405420343914,2888,1871,163404.0,105456.0,0.6478531855955678,0.6453697583902475
2023-03-14,0.3339686630385342,0.3242233390797707,0.09128459144808632,0.13632374977657633,3453,2215,199962.0,119270.0,0.6414711844772661,0.5964633280323262
2023-03-15,0.15247878652689473,0.21673925190444798,0.013652083006214892,0.02886951449176344,145,84,8748.0,3742.0,0.5793103448275863,0.4277549154092364
2023-03-16,0.1589976888128357,0.2258606532767968,0.024645386752377107,0.03669121889262692,298,229,16659.0,11535.0,0.7684563758389261,0.6924185125157573
2023-03-17,0.13513149460075355,0.23019111790414568,0.023382372705290547,0.024173454754781398,105,101,6100.0,4807.0,0.9619047619047619,0.7880327868852459
2023-03-20,0.15440104399846094,0.2241869937095369,0.014986656520432965,0.029610962151488687,89,117,4128.0,6668.0,1.3146067415730338,1.6153100775193798
2023-03-21,0.12963131519278168,0.22610392472749785,0.014047130986074565,0.027717205680865806,73,125,3561.0,6401.0,1.7123287671232876,1.7975287840494243
2023-03-22,0.11196357706349662,0.2296347945295245,0.020241097230733803,0.030885838983463417,222,265,11058.0,14755.0,1.1936936936936937,1.3343280882618918
2023-03-23,0.11672297129197212,0.1929578647595474,0.026749657681558594,0.04598654210980518,247,441,13443.0,25699.0,1.785425101214575,1.9117012571598602
2023-03-24,0.13102364148376142,0.17075849058792353,0.021285648375842976,0.030808293517267653,170,305,9379.0,16992.0,1.7941176470588236,1.8117070050111952
2023-03-27,0.13289478237016458,0.15354679099483054,0.018422964639710437,0.04109024924377178,208,165,10000.0,8754.0,0.7932692307692307,0.8754
2023-03-28,0.12035580834388998,0.13298932545269776,0.029343163463965836,0.03758768540144068,254,212,14242.0,12137.0,0.8346456692913385,0.8521977250386181
2023-03-29,0.08855263798264344,0.13233164471684586,0.029257772361487525,0.044971942678271176,357,470,22230.0,24871.0,1.3165266106442577,1.1188034188034188
2023-03-30,0.0696500553884941,0.1106731342280488,0.016604579710495553,0.03685943533072933,939,1664,52721.0,100229.0,1.77209797657082,1.9011209954287664
2023-03-31,0.08556262097250437,0.08915832465540412,0.028363367768337876,0.039356651685439725,1310,1473,74796.0,87483.0,1.1244274809160306,1.1696213701267448
2023-04-06,0.05447789697932043,0.07068467932178532,0.050497896202185255,0.05611555137337113,2181,2222,124269.0,129942.0,1.018798716185236,1.0456509668541631
2023-04-07,0.08253305590688712,0.11369011206208456,0.02345424690519778,0.037675738921747755,725,1021,42016.0,66906.0,1.4082758620689655,1.5923933739527798
2023-04-10,0.08408264856811404,0.10322602811137889,0.033995160176583605,0.04506528783954646,965,1377,54508.0,77204.0,1.4269430051813472,1.416379247082997
2023-04-11,0.05333093751443573,0.09152115909833948,0.03512697219015822,0.05329644209550416,1941,2428,106830.0,138994.0,1.2509015971148891,1.301076476645137
2023-04-12,0.04281218248595807,0.0796126336052383,0.04446827610596151,0.06630576871570758,1963,2198,105591.0,128916.0,1.119714722363729,1.2208995084808365
2023-04-13,0.15244698567899484,0.10571212870864947,0.030015858155894838,0.044335827767933426,1545,1107,89788.0,61943.0,0.7165048543689321,0.6898806076535839
2023-04-14,0.09848982320870005,0.13848008420150154,0.03769104726397771,0.042245655999366784,1428,1808,82704.0,103281.0,1.2661064425770308,1.2488029599535693
2023-04-17,0.11659308323015696,0.17779357986934582,0.0472859930934275,0.04075125688570461,1314,1450,73965.0,78695.0,1.1035007610350076,1.063949165145677
2023-04-18,0.2172910876933842,0.11448030375381803,0.12162180263995725,0.0859582475983595,1784,1849,102321.0,98460.0,1.0364349775784754,0.9622658105374263
2023-04-19,0.12663127599937277,0.1578876819205638,0.012735835115340923,0.022102636802505404,130,85,6844.0,5274.0,0.6538461538461539,0.7706019871420222
2023-04-20,0.1188489498080181,0.157149948116849,0.016099697103336315,0.036143658669850455,146,106,7684.0,5681.0,0.726027397260274,0.739328474752733
2023-04-21,0.12328444410295421,0.1429255813104016,0.028528819902099087,0.04305971167760284,182,169,10907.0,9232.0,0.9285714285714286,0.8464288988722839
2023-04-24,0.10633966631567568,0.14878132814646192,0.033746966638515445,0.04928125801904032,186,121,10414.0,6700.0,0.6505376344086021,0.6433647013635491
2023-04-25,0.12589806639018308,0.12177641440884353,0.03195766394426775,0.05717988703844077,326,330,20805.0,19584.0,1.0122699386503067,0.9413121845710166
2023-04-26,0.08338886810979346,0.12010076849015587,0.02537754680823418,0.04262686732708752,706,526,40143.0,25837.0,0.7450424929178471,0.6436240440425479
2023-04-27,0.06852312872832053,0.09915166359908083,0.02699785460528775,0.03331840064576316,1326,1273,74747.0,71196.0,0.9600301659125189,0.9524930766452165
2023-04-28,0.04575979088968308,0.09651965780650602,0.03541017106719774,0.034962437097772164,1425,1865,83794.0,106777.0,1.3087719298245615,1.2742797813685944
2023-05-02,0.038375203246290464,0.07619797889419597,0.034006872058148535,0.03858555691588018,1650,2546,93738.0,140901.0,1.543030303030303,1.5031364014593869
2023-05-03,0.034660102483644116,0.04675623336069802,0.03388717778159654,0.04516804528130505,2993,2568,167752.0,143042.0,0.858002004677581,0.8526992226620249
2023-05-04,0.07934629990789854,0.13158605681908608,0.023118321245047344,0.02873325796777607,1075,1250,56964.0,72429.0,1.1627906976744187,1.2714872551084895
2023-05-05,0.08009844401871988,0.10657728844536206,0.02070531709648893,0.03054589827338114,1659,1747,92559.0,102270.0,1.053044002411091,1.1049168638382005
2023-05-08,0.0744508570031393,0.0912279624340128,0.02505560161764237,0.03944992428831585,1497,2536,81650.0,142508.0,1.694054776219105,1.7453521126760563
2023-05-09,0.04103958737608217,0.07274790888085672,0.029417088316594744,0.030726209385583306,1675,1646,98938.0,92761.0,0.9826865671641791,0.9375669611271705
2023-05-10,0.03980091980688782,0.05656007030898162,0.03970223680841019,0.05296192973480265,3625,2312,210712.0,133602.0,0.6377931034482759,0.6340502676639205
2023-05-11,0.1351186969643018,0.09531198848099943,0.02232229872535782,0.04360705395948239,2036,1706,119045.0,95128.0,0.8379174852652259,0.7990927800411609
2023-05-12,0.10455199501042615,0.1320359917210943,0.028934551800855607,0.03191107718347102,2068,1634,113167.0,89657.0,0.7901353965183753,0.7922539256143576
2023-05-15,0.1376254252465326,0.16078335557641146,0.031171783669286066,0.05639264734969566,1730,1464,89895.0,76580.0,0.846242774566474,0.8518827520996718
2023-05-16,0.12612920398195349,0.21667839915302553,0.093287357136964,0.09462035591605052,2199,2499,118347.0,141037.0,1.136425648021828,1.1917243360625955
2023-05-17,0.09334849049800391,0.18741607262781407,0.027905087463521997,0.07046592788491779,190,110,10834.0,5710.0,0.5789473684210527,0.5270444895698726
2023-05-18,0.11948194145808927,0.20419247037651955,0.02583702000371503,0.07464445828841831,401,192,21266.0,10012.0,0.47880299251870323,0.4707984576319007
2023-05-19,0.11764798075528879,0.17694560867162473,0.021914570825464028,0.011787207726414579,138,90,9034.0,4597.0,0.6521739130434783,0.5088554350232455
2023-05-22,0.11928679505246818,0.20589151795429506,0.004929743201356168,0.07635314526291875,46,57,2672.0,3574.0,1.2391304347826086,1.3375748502994012
2023-05-23,0.11556258781260317,0.20957848384278271,0.00839476005780343,0.08072406829662165,94,99,5008.0,7513.0,1.053191489361702,1.5001996805111821
2023-05-24,0.10038264569859616,0.1886255911770134,0.013893574236808795,0.07056006430012007,122,125,7687.0,8301.0,1.0245901639344261,1.0798751138285416
