Date,00679B
2023-09-28,28.52
2023-10-02,28.44
2023-10-03,28.3
2023-10-04,27.61
2023-10-05,28.02
2023-10-06,27.85
2023-10-11,28.2
2023-10-12,28.75
2023-10-13,28.34
2023-10-16,28.43
2023-10-17,28.08
2023-10-18,27.92
2023-10-19,27.59
2023-10-20,27.45
2023-10-23,27.24
2023-10-24,27.75
2023-10-25,27.93
2023-10-26,27.48
2023-10-27,27.82
2023-10-30,27.72
2023-10-31,27.69
2023-11-01,27.36
2023-11-02,27.85
2023-11-03,28.27
2023-11-06,28.32
2023-11-07,28.18
2023-11-08,28.49
2023-11-09,29.03
2023-11-10,28.62
2023-11-13,28.45
2023-11-14,28.63
2023-11-15,29.04
2023-11-16,28.5
2023-11-17,28.55
2023-11-20,28.42
2023-11-21,28.54
2023-11-22,28.47
2023-11-23,28.69
2023-11-24,28.52
2023-11-27,28.35
2023-11-28,28.57
2023-11-29,28.67
2023-11-30,28.86
2023-12-01,28.8
2023-12-04,29.14
2023-12-05,29.33
2023-12-06,29.78
2023-12-07,30.11
2023-12-08,30.04
2023-12-11,29.9
2023-12-12,29.9
2023-12-13,30.0
2023-12-14,30.64
2023-12-15,30.92
2023-12-18,31.42
2023-12-19,31.22
2023-12-20,31.17
2023-12-21,31.26
2023-12-22,30.99
2023-12-25,30.79
2023-12-26,30.89
2023-12-27,30.83
2023-12-28,30.91
2023-12-29,30.85
2024-01-02,30.61
2024-01-03,30.6
2024-01-04,30.66
2024-01-05,30.35
2024-01-08,29.98
2024-01-09,30.18
2024-01-10,30.06
2024-01-11,30.01
2024-01-12,30.07
2024-01-15,30.3
2024-01-16,30.15
2024-01-17,29.86
2024-01-18,29.84
2024-01-19,29.41
2024-01-22,29.57
2024-01-23,29.61
2024-01-24,29.47
2024-01-25,29.33
2024-01-26,29.48
2024-01-29,29.41
2024-01-30,29.79
2024-01-31,30.11
2024-02-01,30.36
2024-02-02,30.52
2024-02-05,30.1
2024-02-15,29.59
2024-02-16,29.56
2024-02-19,29.54
2024-02-20,29.55
2024-02-21,29.56
2024-02-22,29.55
2024-02-23,29.56
2024-02-26,29.95
2024-02-27,29.56
2024-02-29,29.53
2024-03-01,29.6
2024-03-04,29.65
2024-03-05,29.63
2024-03-06,29.88
2024-03-07,30.04
2024-03-08,30.06
2024-03-11,30.06
2024-03-12,30.02
2024-03-13,29.81
2024-03-14,29.68
2024-03-15,29.42
2024-03-18,29.36
2024-03-19,29.38
2024-03-20,29.44
2024-03-21,29.39
2024-03-22,29.65
2024-03-25,29.79
2024-03-26,29.71
2024-03-27,29.8
2024-03-28,29.97
2024-03-29,30.0
2024-04-01,29.97
