Date,File,S0,Contract,ContractExpiryDate,Maturity,Rf
2020/11/24,OptionsDaily_2020_11_24.csv,13807.13,202012,2020/12/16,22,0.0084
2020/11/25,OptionsDaily_2020_11_25.csv,13738.83,202012,2020/12/16,21,0.0084
2020/11/26,OptionsDaily_2020_11_26.csv,13845.66,202012,2020/12/16,20,0.0084
2020/11/27,OptionsDaily_2020_11_27.csv,13867.09,202012,2020/12/16,19,0.0084
2020/11/30,OptionsDaily_2020_11_30.csv,13722.89,202012,2020/12/16,16,0.0084
2020/12/1,OptionsDaily_2020_12_01.csv,13885.67,202012,2020/12/16,15,0.0084
2020/12/2,OptionsDaily_2020_12_02.csv,13989.14,202012,2020/12/16,14,0.0084
2020/12/3,OptionsDaily_2020_12_03.csv,13977.09,202012,2020/12/16,13,0.0084
2020/12/4,OptionsDaily_2020_12_04.csv,14132.44,202012,2020/12/16,12,0.0084
2020/12/7,OptionsDaily_2020_12_07.csv,14256.6,202012,2020/12/16,9,0.0084
2020/12/8,OptionsDaily_2020_12_08.csv,14360.4,202012,2020/12/16,8,0.0084
2020/12/9,OptionsDaily_2020_12_09.csv,14390.14,202012,2020/12/16,7,0.0084
2020/12/10,OptionsDaily_2020_12_10.csv,14249.49,202012,2020/12/16,6,0.0084
2020/12/11,OptionsDaily_2020_12_11.csv,14261.69,202012,2020/12/16,5,0.0084
2020/12/14,OptionsDaily_2020_12_14.csv,14211.05,202012,2020/12/16,2,0.0084
2020/12/15,OptionsDaily_2020_12_15.csv,14068.52,202012,2020/12/16,1,0.0084
2020/12/16,OptionsDaily_2020_12_16.csv,14304.46,202101,2021/1/20,35,0.0084
2020/12/17,OptionsDaily_2020_12_17.csv,14258.93,202101,2021/1/20,34,0.0084
2020/12/18,OptionsDaily_2020_12_18.csv,14249.96,202101,2021/1/20,33,0.0084
2020/12/21,OptionsDaily_2020_12_21.csv,14384.96,202101,2021/1/20,30,0.0084
2020/12/22,OptionsDaily_2020_12_22.csv,14177.46,202101,2021/1/20,29,0.0084
2020/12/23,OptionsDaily_2020_12_23.csv,14223.09,202101,2021/1/20,28,0.0084
2020/12/24,OptionsDaily_2020_12_24.csv,14280.28,202101,2021/1/20,27,0.0084
2020/12/25,OptionsDaily_2020_12_25.csv,14331.42,202101,2021/1/20,26,0.0084
2020/12/28,OptionsDaily_2020_12_28.csv,14483.07,202101,2021/1/20,23,0.0084
2020/12/29,OptionsDaily_2020_12_29.csv,14472.05,202101,2021/1/20,22,0.0084
2020/12/30,OptionsDaily_2020_12_30.csv,14687.7,202101,2021/1/20,21,0.0084
2020/12/31,OptionsDaily_2020_12_31.csv,14732.53,202101,2021/1/20,20,0.0084
