Date,File,SO,Contract,ContractExpiry Date,Maturity,Rf
2023/7/27,2023 (4).xlsx,17241.82,202308,2023/8/16,20,0.012
2023/7/26,2023 (4).xlsx,17162.55,202308,2023/8/16,21,0.012
2023/7/25,2023 (4).xlsx,17198.89,202308,2023/8/16,22,0.012
2023/7/24,2023 (4).xlsx,17033.61,202308,2023/8/16,23,0.012
2023/7/21,2023 (4).xlsx,17030.7,202308,2023/8/16,26,0.012
2023/7/20,2023 (4).xlsx,17164.89,202308,2023/8/16,27,0.012
2023/7/19,2023 (4).xlsx,17116.44,202307,2023/7/19,0,0.012
2023/7/18,2023 (4).xlsx,17227.91,202307,2023/7/19,1,0.012
2023/7/17,2023 (4).xlsx,17334.29,202307,2023/7/19,2,0.012
2023/7/14,2023 (4).xlsx,17283.71,202307,2023/7/19,5,0.012
2023/7/13,2023 (4).xlsx,17061.4,202307,2023/7/19,6,0.012
2023/7/12,2023 (4).xlsx,16962.03,202307,2023/7/19,7,0.012
2023/7/11,2023 (4).xlsx,16898.91,202307,2023/7/19,8,0.012
2023/7/10,2023 (4).xlsx,16652.8,202307,2023/7/19,9,0.012
2023/7/7,2023 (4).xlsx,16664.21,202307,2023/7/19,12,0.012
2023/7/6,2023 (4).xlsx,16762.17,202307,2023/7/19,13,0.012
2023/7/5,2023 (4).xlsx,17056.43,202307,2023/7/19,14,0.012
2023/7/4,2023 (4).xlsx,17140.77,202307,2023/7/19,15,0.012
2023/7/3,2023 (4).xlsx,17084.2,202307,2023/7/19,16,0.012
2023/6/30,2023 (4).xlsx,16915.54,202307,2023/7/19,19,0.012
2023/6/29,2023 (4).xlsx,16942.3,202307,2023/7/19,20,0.012
2023/6/28,2023 (4).xlsx,16935.63,202307,2023/7/19,21,0.012
2023/6/27,2023 (4).xlsx,16887.9,202307,2023/7/19,22,0.012
2023/6/26,2023 (4).xlsx,17059.24,202307,2023/7/19,23,0.012
2023/6/21,2023 (4).xlsx,17202.4,202306,2023/6/21,0,0.012
2023/6/20,2023 (4).xlsx,17184.91,202306,2023/6/21,1,0.012
2023/6/19,2023 (4).xlsx,17274.56,202306,2023/6/21,2,0.012
2023/6/16,2023 (4).xlsx,17288.91,202306,2023/6/21,5,0.012
2023/6/15,2023 (4).xlsx,17334.98,202306,2023/6/21,6,0.012
2023/6/14,2023 (4).xlsx,17238.14,202306,2023/6/21,7,0.012
2023/6/13,2023 (4).xlsx,17216.6,202306,2023/6/21,8,0.012
2023/6/12,2023 (4).xlsx,16955.37,202306,2023/6/21,9,0.012
2023/6/9,2023 (4).xlsx,16886.4,202306,2023/6/21,12,0.012
2023/6/8,2023 (4).xlsx,16733.69,202306,2023/6/21,13,0.012
2023/6/7,2023 (4).xlsx,16922.48,202306,2023/6/21,14,0.012
2023/6/6,2023 (4).xlsx,16761.66,202306,2023/6/21,15,0.012
2023/6/5,2023 (4).xlsx,16714.43,202306,2023/6/21,16,0.012
2023/6/2,2023 (4).xlsx,16706.91,202306,2023/6/21,19,0.012
2023/6/1,2023 (4).xlsx,16512.65,202306,2023/6/21,20,0.012
2023/5/31,2023 (4).xlsx,16578.96,202306,2023/6/21,21,0.012
2023/5/30,2023 (4).xlsx,16622.74,202306,2023/6/21,22,0.012
2023/5/29,2023 (4).xlsx,16636.3,202306,2023/6/21,23,0.012
2023/5/26,2023 (4).xlsx,16505.05,202306,2023/6/21,26,0.012
2023/5/25,2023 (4).xlsx,16292,202306,2023/6/21,27,0.012
2023/5/24,2023 (4).xlsx,16159.32,202306,2023/6/21,28,0.012
2023/5/23,2023 (4).xlsx,16188.03,202306,2023/6/21,29,0.012
2023/5/22,2023 (4).xlsx,16180.89,202306,2023/6/21,30,0.012
2023/5/19,2023 (4).xlsx,16174.92,202306,2023/6/21,33,0.012
2023/5/18,2023 (4).xlsx,16101.88,202306,2023/6/21,34,0.012
2023/5/17,2023 (4).xlsx,15925.29,202305,2023/5/17,0,0.012
2023/5/16,2023 (4).xlsx,15673.9,202305,2023/5/17,1,0.012
2023/5/15,2023 (4).xlsx,15475.05,202305,2023/5/17,2,0.012
2023/5/12,2023 (4).xlsx,15502.36,202305,2023/5/17,5,0.012
2023/5/11,2023 (4).xlsx,15514.64,202305,2023/5/17,6,0.012
2023/5/10,2023 (4).xlsx,15641.76,202305,2023/5/17,7,0.012
2023/5/9,2023 (4).xlsx,15727.7,202305,2023/5/17,8,0.012
2023/5/8,2023 (4).xlsx,15699.57,202305,2023/5/17,9,0.012
2023/5/5,2023 (4).xlsx,15626.07,202305,2023/5/17,12,0.012
2023/5/4,2023 (4).xlsx,15609.03,202305,2023/5/17,13,0.012
2023/5/3,2023 (4).xlsx,15553.41,202305,2023/5/17,14,0.012
2023/5/2,2023 (4).xlsx,15636.48,202305,2023/5/17,15,0.012
2023/4/28,2023 (4).xlsx,15579.18,202305,2023/5/17,19,0.012
2023/4/27,2023 (4).xlsx,15411.49,202305,2023/5/17,20,0.012
2023/4/26,2023 (4).xlsx,15374.63,202305,2023/5/17,21,0.012
2023/4/25,2023 (4).xlsx,15370.73,202305,2023/5/17,22,0.012
2023/4/24,2023 (4).xlsx,15626.87,202305,2023/5/17,23,0.012
2023/4/21,2023 (4).xlsx,15602.99,202305,2023/5/17,26,0.012
2023/4/20,2023 (4).xlsx,15707.52,202305,2023/5/17,27,0.012
2023/4/19,2023 (4).xlsx,15770.47,202304,2023/4/19,0,0.012
2023/4/18,2023 (4).xlsx,15869.44,202304,2023/4/19,1,0.012
2023/4/17,2023 (4).xlsx,15963.55,202304,2023/4/19,2,0.012
2023/4/14,2023 (4).xlsx,15929.43,202304,2023/4/19,5,0.012
2023/4/13,2023 (4).xlsx,15804.76,202304,2023/4/19,6,0.012
2023/4/12,2023 (4).xlsx,15932.97,202304,2023/4/19,7,0.012
